Text	Sentiment	Probability
it 's a scattershot affair , but when it hits its mark it 's brilliant . 	Positive	97
hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . 	Positive	99
you wo n't like roger , but you will quickly recognize him . 	Positive	97
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 	Positive	71
byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 	Positive	98
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 	Positive	99
it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . 	Negative	69
no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	Positive	95
on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . 	Negative	99
why make a documentary about these marginal historical figures ? 	Negative	97
neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 	Positive	99
his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . 	Negative	98
does paint some memorable images ... , but makhmalbaf keeps her distance from the characters 	Negative	57
a gripping movie , played with performances that are all understated and touching . 	Positive	99
it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . 	Positive	60
combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 	Negative	96
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 	Positive	99
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 	Negative	98
too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . 	Negative	96
it 's great escapist fun that recreates a place and time that will never happen again . 	Positive	99
scores no points for originality , wit , or intelligence . 	Negative	98
there is n't nearly enough fun here , despite the presence of some appealing ingredients . 	Negative	98
hilariously inept and ridiculous . 	Negative	76
this movie is maddening . 	Negative	97
it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . 	Positive	99
sam mendes has become valedictorian at the school for soft landings and easy ways out . 	Positive	72
one of the smartest takes on singles culture i 've seen in a long time . 	Positive	99
moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . 	Positive	99
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 	Positive	93
comes ... uncomfortably close to coasting in the treads of the bicycle thief . 	Negative	97
warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . 	Positive	99
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so 	Positive	63
old-form moviemaking at its best . 	Positive	93
turns potentially forgettable formula into something strangely diverting . 	Positive	88
( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . 	Positive	98
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . 	Positive	99
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . 	Negative	91
in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 	Negative	97
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 	Positive	99
it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . 	Positive	99
suffers from the lack of a compelling or comprehensible narrative . 	Negative	99
in execution , this clever idea is far less funny than the original , killers from space . 	Negative	86
scooby dooby doo / and shaggy too / you both look and sound great . 	Positive	99
the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . 	Negative	89
it all drags on so interminably it 's like watching a miserable relationship unfold in real time . 	Negative	97
pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	Negative	66
looks and feels like a project better suited for the small screen . 	Negative	97
forced , familiar and thoroughly condescending . 	Negative	99
that is a compliment to kuras and miller . 	Positive	99
it 's not the ultimate depression-era gangster movie . 	Negative	98
sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 	Negative	97
the character of zigzag is not sufficiently developed to support a film constructed around him . 	Negative	99
what better message than ` love thyself ' could young women of any size receive ? 	Negative	82
a solid film ... but more conscientious than it is truly stirring . 	Positive	54
while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . 	Negative	99
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 	Negative	97
about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . 	Positive	99
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 	Positive	56
feels too formulaic and too familiar to produce the transgressive thrills of early underground work . 	Negative	99
the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . 	Positive	89
overall very good for what it 's trying to do . 	Positive	98
a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . 	Positive	99
a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . 	Positive	99
the heavy-handed film is almost laughable as a consequence . 	Negative	81
a solid examination of the male midlife crisis . 	Positive	99
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . 	Negative	99
manages to transcend the sex , drugs and show-tunes plot into something far richer . 	Positive	99
it takes talent to make a lifeless movie about the most heinous man who ever lived . 	Negative	92
by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . 	Negative	87
like leon , it 's frustrating and still oddly likable . 	Positive	99
uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . 	Negative	99
not exactly the bees knees 	Negative	91
there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . 	Negative	99
slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? 	Negative	97
a woman 's pic directed with resonance by ilya chaiken . 	Positive	99
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . 	Negative	62
characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . 	Negative	78
the end result is a film that 's neither . 	Negative	98
manages to be sweet and wickedly satisfying at the same time . 	Positive	99
leigh 's film is full of memorable performances from top to bottom . 	Positive	99
it 's also , clearly , great fun . 	Positive	99
rarely has leukemia looked so shimmering and benign . 	Positive	75
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 	Negative	89
determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . 	Negative	89
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! 	Positive	98
bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . 	Positive	98
delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . 	Negative	85
does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . 	Negative	89
it made me want to wrench my eyes out of my head and toss them at the screen . 	Negative	95
the film 's performances are thrilling . 	Positive	99
unfortunately , it 's not silly fun unless you enjoy really bad movies . 	Negative	96
it 's a bad thing when a movie has about as much substance as its end credits blooper reel . 	Negative	99
i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . 	Negative	98
the lower your expectations , the more you 'll enjoy it . 	Positive	98
though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . 	Negative	83
a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . 	Positive	99
pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . 	Positive	96
` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' 	Positive	98
a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . 	Negative	99
its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? 	Negative	98
try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' 	Negative	97
the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . 	Positive	99
a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . 	Positive	53
morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan . 	Positive	97
instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . 	Positive	98
my thoughts were focused on the characters . 	Positive	96
so , too , is this comedy about mild culture clashing in today 's new delhi . 	Positive	95
for starters , the story is just too slim . 	Negative	99
this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . 	Positive	99
at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . 	Negative	97
the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . 	Positive	79
inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . 	Positive	83
there ought to be a directing license , so that ed burns can have his revoked . 	Negative	99
bad . 	Negative	99
that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums . 	Positive	97
falls neatly into the category of good stupid fun . 	Negative	88
an artful , intelligent film that stays within the confines of a well-established genre . 	Positive	99
smart , provocative and blisteringly funny . 	Positive	99
and the lesson , in the end , is nothing new . 	Negative	98
this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . 	Negative	96
not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . 	Positive	98
to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . 	Negative	94
the entire movie is about a boring , sad man being boring and sad . 	Negative	98
this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . 	Negative	90
perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . 	Negative	99
the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . 	Positive	95
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . 	Positive	98
once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . 	Negative	95
all that 's missing is the spontaneity , originality and delight . 	Negative	76
what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . 	Positive	99
the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy . 	Negative	62
my reaction in a word : disappointment . 	Negative	98
a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . 	Positive	99
corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . 	Positive	98
nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . 	Positive	88
far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . 	Positive	99
of course , by more objective measurements it 's still quite bad . 	Negative	99
as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . 	Positive	99
it provides an honest look at a community striving to anchor itself in new grounds . 	Positive	99
this movie seems to have been written using mad-libs . 	Negative	99
reign of fire looks as if it was made without much thought -- and is best watched that way . 	Negative	89
martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . 	Positive	99
it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . 	Negative	98
i 'd have to say the star and director are the big problems here . 	Negative	93
affleck and jackson are good sparring partners . 	Positive	99
whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . 	Positive	95
not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 	Positive	96
a by-the-numbers effort that wo n't do much to enhance the franchise . 	Negative	99
an occasionally funny , but overall limp , fish-out-of-water story . 	Negative	93
brilliantly explores the conflict between following one 's heart and following the demands of tradition . 	Positive	99
despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . 	Positive	99
it appears that something has been lost in the translation to the screen . 	Negative	99
it all feels like a monty python sketch gone horribly wrong . 	Negative	99
the film tunes into a grief that could lead a man across centuries . 	Positive	95
dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . 	Positive	99
it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . 	Positive	92
it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun . 	Positive	98
stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . 	Negative	99
a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . 	Negative	73
huston nails both the glad-handing and the choking sense of hollow despair . 	Positive	67
one of the more intelligent children 's movies to hit theaters this year . 	Positive	99
the film tries too hard to be funny and tries too hard to be hip . 	Negative	99
blanchett 's performance confirms her power once again . 	Positive	99
if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . 	Negative	61
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . 	Negative	99
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . 	Negative	92
rarely has so much money delivered so little entertainment . 	Negative	97
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . 	Negative	98
`` the time machine '' is a movie that has no interest in itself . 	Negative	99
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . 	Positive	99
/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! 	Negative	93
the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . 	Positive	97
it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . 	Negative	98
chilling , well-acted , and finely directed : david jacobson 's dahmer . 	Positive	96
it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . 	Negative	99
paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . 	Negative	96
a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . 	Negative	73
it 's played in the most straight-faced fashion , with little humor to lighten things up . 	Negative	93
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . 	Negative	99
with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . 	Negative	57
dense with characters and contains some thrilling moments . 	Positive	99
as unseemly as its title suggests . 	Negative	97
it 's like watching a nightmare made flesh . 	Negative	89
minority report is exactly what the title indicates , a report . 	Negative	86
it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . 	Positive	56
an entertaining , colorful , action-filled crime story with an intimate heart . 	Positive	99
for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . 	Positive	92
it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . 	Positive	99
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . 	Negative	98
... with `` the bourne identity '' we return to the more traditional action genre . 	Positive	94
it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . 	Positive	94
chokes on its own depiction of upper-crust decorum . 	Negative	98
while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer 	Negative	98
a rewarding work of art for only the most patient and challenge-hungry moviegoers . 	Positive	99
directed in a paint-by-numbers manner . 	Negative	91
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . 	Negative	92
at its best , queen is campy fun like the vincent price horror classics of the '60s . 	Positive	96
it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . 	Positive	99
the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . 	Positive	99
cool ? 	Positive	96
deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises 	Positive	99
even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . 	Negative	86
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 	Negative	65
at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . 	Positive	98
the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . 	Positive	99
jones ... does offer a brutal form of charisma . 	Positive	99
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . 	Negative	95
travels a fascinating arc from hope and euphoria to reality and disillusionment . 	Positive	96
serving sara does n't serve up a whole lot of laughs . 	Negative	98
the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . 	Positive	98
fun , flip and terribly hip bit of cinematic entertainment . 	Positive	99
the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . 	Positive	62
the wild thornberrys movie is a jolly surprise . 	Positive	99
entertains by providing good , lively company . 	Positive	99
a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . 	Positive	99
what was once original has been co-opted so frequently that it now seems pedestrian . 	Negative	99
the story and structure are well-honed . 	Positive	99
macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role . 	Positive	99
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution . 	Positive	97
the second coming of harry potter is a film far superior to its predecessor . 	Positive	98
if you can stomach the rough content , it 's worth checking out for the performances alone . 	Positive	96
a warm , funny , engaging film . 	Positive	99
i 'll bet the video game is a lot more fun than the film . 	Positive	63
the best film about baseball to hit theaters since field of dreams . 	Positive	99
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . 	Positive	99
complete lack of originality , cleverness or even visible effort 	Negative	99
awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' 	Positive	99
all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . 	Positive	99
hit and miss as far as the comedy goes and a big ole ' miss in the way of story . 	Negative	98
too much of it feels unfocused and underdeveloped . 	Negative	99
a deep and meaningful film . 	Positive	99
but it could have been worse . 	Negative	98
that 's pure pr hype . 	Negative	96
a painfully funny ode to bad behavior . 	Positive	78
you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . 	Negative	67
liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . 	Positive	99
a beguiling splash of pastel colors and prankish comedy from disney . 	Positive	99
it proves quite compelling as an intense , brooding character study . 	Positive	99
an unwise amalgam of broadcast news and vibes . 	Negative	98
utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . 	Negative	99
and that leaves a hole in the center of the salton sea . 	Negative	96
the chateau cleverly probes the cross-cultural differences between gauls and yanks . 	Positive	99
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . 	Positive	95
a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . 	Positive	96
what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure . 	Positive	99
with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . 	Negative	99
having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . 	Positive	99
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . 	Negative	99
it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . 	Negative	78
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . 	Positive	98
